epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3476,0.79299,3.57433,1.05664,0.0041,1,0.49625,0.4269,0.49423,3.47223,0.85,0.0001429,0.0001429,0.0001429
2,77.5894,0.82206,2.87491,1.1043,0.00418,1,0.51049,0.38495,0.5141,3.46132,0.88041,0.000285236,0.000285236,0.000285236
3,115.494,0.85155,2.23982,1.07238,0.00431,1,0.55297,0.47471,0.55878,3.28351,0.89504,0.000412009,0.000412009,0.000412009
4,153.03,0.88426,2.06395,1.09808,0.00459,1,0.6248,0.47719,0.60994,3.32735,0.88267,0.000523221,0.000523221,0.000523221
5,191.36,0.87535,1.85568,1.0627,0.70199,0.33042,0.72579,0.5804,0.74184,3.15496,0.99286,0.000618871,0.000618871,0.000618871
6,230.244,0.80063,1.6083,1.02037,0.96261,0.34116,0.89202,0.71814,0.64811,2.92531,0.96475,0.00069896,0.00069896,0.00069896
7,268.07,0.78812,1.73403,1.05023,0.91741,0.65051,0.89299,0.70388,0.69843,2.67589,1.00207,0.000763486,0.000763486,0.000763486
8,307.157,0.84903,1.71379,1.11947,0.88585,0.61905,0.81453,0.61097,0.73648,2.79957,1.13239,0.000812451,0.000812451,0.000812451
9,345.316,0.81622,1.55018,1.0532,0.86744,0.61164,0.86071,0.68087,0.72921,2.39757,1.1334,0.000845854,0.000845854,0.000845854
10,383.083,0.8314,1.52996,1.06497,0.78735,0.89807,0.95199,0.75473,0.76373,2.05899,1.09966,0.00079238,0.00079238,0.00079238
11,424.412,0.67702,1.72486,0.95249,0.79224,0.81187,0.91338,0.74022,0.68222,2.12186,1.06458,0.000721645,0.000721645,0.000721645
12,467.158,0.66982,1.63092,0.93591,0.96731,0.89378,0.95981,0.7617,0.7734,1.77326,1.18532,0.000650909,0.000650909,0.000650909
13,531.884,0.67564,1.62429,0.96404,0.89739,0.91377,0.94756,0.77588,0.69759,1.6898,1.07173,0.000580174,0.000580174,0.000580174
14,591.395,0.73369,1.70683,0.97722,0.93078,0.88571,0.94403,0.76259,0.75262,1.58787,1.09583,0.000509438,0.000509438,0.000509438
15,629.557,0.72204,1.5363,1.00962,0.96831,0.95238,0.95181,0.80156,0.71409,1.43567,1.09575,0.000438703,0.000438703,0.000438703
16,673.918,0.64517,1.48466,0.97129,0.95722,0.89473,0.951,0.8191,0.62631,1.35446,1.02315,0.000367967,0.000367967,0.000367967
17,719.982,0.6505,1.48266,0.95788,0.93067,0.85648,0.93547,0.81811,0.57705,1.38623,0.95216,0.000297232,0.000297232,0.000297232
18,756.864,0.59036,1.43328,0.91449,0.86556,0.95238,0.93893,0.83867,0.54759,1.32318,0.94294,0.000226497,0.000226497,0.000226497
19,793.959,0.59234,1.51847,0.96166,0.88115,0.95238,0.94886,0.84097,0.52265,1.33721,0.9356,0.000155761,0.000155761,0.000155761
20,830.288,0.63872,1.35052,0.94702,0.97512,0.93662,0.97556,0.86764,0.50598,1.26579,0.93079,8.50255e-05,8.50255e-05,8.50255e-05
