epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9325,0.75695,3.26812,1.03341,0.00409,1,0.43889,0.37217,0.45954,3.36481,0.81955,0.0001429,0.0001429,0.0001429
2,56.5391,0.73076,2.41628,0.95803,0.00426,1,0.51397,0.47474,0.42876,3.05599,0.77706,0.000285236,0.000285236,0.000285236
3,84.3395,0.83222,2.25667,1.11354,0.00436,1,0.55726,0.45191,0.55813,3.01028,0.80217,0.000412009,0.000412009,0.000412009
4,112.181,0.79355,2.02043,1.02929,0.84147,0.25314,0.66064,0.57528,0.54792,2.81118,0.85851,0.000523221,0.000523221,0.000523221
5,139.49,0.8224,1.84377,1.03688,0.83004,0.38037,0.75495,0.67026,0.5629,2.72964,0.89791,0.000618871,0.000618871,0.000618871
6,166.692,0.80046,1.63596,0.99641,0.82372,0.68478,0.815,0.6885,0.64985,2.51624,0.96026,0.00069896,0.00069896,0.00069896
7,194.656,0.80942,1.71713,1.00533,0.9373,0.85101,0.9347,0.75838,0.69459,2.10833,0.93764,0.000763486,0.000763486,0.000763486
8,221.064,0.74631,1.59811,0.95888,0.86827,0.97417,0.94719,0.7658,0.66186,1.9511,0.86916,0.000812451,0.000812451,0.000812451
9,248.791,0.78065,1.41469,1.01029,0.88253,0.98585,0.93522,0.79105,0.60999,1.73181,0.86491,0.000845854,0.000845854,0.000845854
10,275.815,0.74694,1.38466,1.02549,0.80221,0.86714,0.84635,0.72601,0.61041,1.9406,0.91161,0.00079238,0.00079238,0.00079238
11,302.304,0.64451,1.64336,0.88747,0.79184,0.93434,0.86232,0.73803,0.67435,1.85601,1.13352,0.000721645,0.000721645,0.000721645
12,329.629,0.64057,1.52936,0.92896,0.98199,0.94728,0.98463,0.8585,0.57871,1.30583,0.89178,0.000650909,0.000650909,0.000650909
13,356.965,0.60871,1.38772,0.89762,0.96698,0.88642,0.98333,0.85012,0.56104,1.27989,0.88723,0.000580174,0.000580174,0.000580174
14,383.964,0.62035,1.39082,0.91133,0.95239,0.89724,0.995,0.89086,0.61212,1.25462,0.90326,0.000509438,0.000509438,0.000509438
15,410.135,0.64224,1.34864,0.92218,0.97592,0.86647,0.995,0.86831,0.6041,1.28743,0.89847,0.000438703,0.000438703,0.000438703
16,434.79,0.60104,1.31587,0.93426,0.94591,0.86334,0.96679,0.85542,0.59234,1.31425,0.87053,0.000367967,0.000367967,0.000367967
17,470.71,0.61726,1.29253,0.90983,0.88847,0.94308,0.955,0.83995,0.56382,1.28818,0.85681,0.000297232,0.000297232,0.000297232
18,497.716,0.56672,1.25039,0.89004,0.90968,0.94729,0.97346,0.86619,0.55674,1.22024,0.84638,0.000226497,0.000226497,0.000226497
19,524.489,0.54326,1.24278,0.87038,0.95864,0.90921,0.98917,0.90005,0.50912,1.13299,0.8295,0.000155761,0.000155761,0.000155761
20,551.306,0.65046,1.22987,0.91646,0.95614,0.90977,0.98917,0.89421,0.48481,1.0884,0.81932,8.50255e-05,8.50255e-05,8.50255e-05
