epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.18172,0.71772,4.41004,1.08589,0.00284,0.83333,0.22206,0.08333,0.49255,3.93337,0.8381,7.145e-05,7.145e-05,7.145e-05
2,14.2371,0.80293,3.60439,1.20607,0.00263,0.83333,0.37636,0.29423,0.34955,3.84255,0.78914,0.000149409,0.000149409,0.000149409
3,21.0043,0.92445,3.56849,1.31716,0.00252,0.83333,0.29596,0.26154,0.3734,3.86576,0.78452,0.00021888,0.00021888,0.00021888
4,27.8295,0.83798,3.69086,1.09427,0.00294,1,0.69317,0.61272,0.37486,3.86825,0.79369,0.000279863,0.000279863,0.000279863
5,34.9119,0.77137,3.29247,1.06635,0.00303,1,0.863,0.73391,0.59174,3.74777,0.77071,0.000332357,0.000332357,0.000332357
6,42.4774,0.83423,3.51128,1.15228,0.00302,1,0.749,0.67459,0.66551,3.80147,0.78952,0.000376363,0.000376363,0.000376363
7,49.4598,0.99569,3.19972,1.18024,0.00315,1,0.68025,0.59237,0.62696,3.7456,0.7919,0.000411881,0.000411881,0.000411881
8,56.4546,0.73167,2.95704,1.07598,0.00332,1,0.84567,0.71646,0.60545,3.70253,0.80238,0.00043891,0.00043891,0.00043891
9,63.4031,1.13928,3.14912,1.27622,0.00355,1,0.68025,0.5676,0.58515,3.61002,0.81694,0.000457451,0.000457451,0.000457451
10,70.0363,0.78678,2.82582,1.08776,0.00355,1,0.68025,0.5676,0.58515,3.61002,0.81694,0.000467504,0.000467504,0.000467504
11,77.0563,0.79169,3.74767,1.08124,0.00362,1,0.74625,0.67182,0.57818,3.49446,0.80463,0.000469069,0.000469069,0.000469069
12,83.4866,0.6628,3.64484,0.96566,0.00362,1,0.82917,0.73818,0.55529,3.44729,0.77176,0.000462146,0.000462146,0.000462146
13,89.901,0.47169,9.0811,0.82059,0.00362,1,0.82917,0.73818,0.55529,3.44729,0.77176,0.000446734,0.000446734,0.000446734
14,96.5733,0.64053,3.67798,0.97847,0.00355,1,0.995,0.87095,0.54491,3.46839,0.76876,0.000422834,0.000422834,0.000422834
15,103.294,0.55833,3.14274,0.95325,0.00355,1,0.995,0.87095,0.54491,3.46839,0.76876,0.000390446,0.000390446,0.000390446
16,110.656,0.66212,3.27561,1.045,0.87842,0.7452,0.95375,0.84207,0.57157,3.22619,0.77497,0.000349569,0.000349569,0.000349569
17,117.17,0.66745,3.31941,1.05607,0.87842,0.7452,0.95375,0.84207,0.57157,3.22619,0.77497,0.000297232,0.000297232,0.000297232
18,123.526,0.69118,3.02476,1.01245,0.93593,0.9368,0.995,0.87084,0.56405,3.05381,0.77428,0.000226497,0.000226497,0.000226497
19,129.701,0.59991,2.83162,0.95152,0.93593,0.9368,0.995,0.87084,0.56405,3.05381,0.77428,0.000155761,0.000155761,0.000155761
20,136.832,0.71979,3.39315,0.99325,0.9618,0.91966,0.995,0.87083,0.57051,2.89685,0.77493,8.50255e-05,8.50255e-05,8.50255e-05
