epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.4751,0.78457,3.6699,1.09789,0.00343,1,0.42914,0.40975,0.35676,3.80199,0.72872,7.145e-05,7.145e-05,7.145e-05
2,10.274,0.68141,3.36089,1.01364,0.00326,1,0.69717,0.64077,0.36228,3.68462,0.70853,0.000149409,0.000149409,0.000149409
3,15.4094,1.06002,3.66254,1.22583,0.00324,1,0.68025,0.60855,0.35418,3.64352,0.69931,0.00021888,0.00021888,0.00021888
4,20.3654,0.69076,3.12277,1.05696,0.00335,1,0.65525,0.60969,0.3625,3.50007,0.70078,0.000279863,0.000279863,0.000279863
5,25.4001,0.8208,2.63987,1.09681,0.00364,1,0.66375,0.59766,0.49691,3.41417,0.73686,0.000332357,0.000332357,0.000332357
6,30.8727,0.90932,2.71382,1.20831,0.00401,1,0.66375,0.58711,0.47317,3.40106,0.75424,0.000376363,0.000376363,0.000376363
7,35.9161,0.81509,2.80929,1.08232,0.00464,1,0.66375,0.6036,0.43503,3.40467,0.75844,0.000411881,0.000411881,0.000411881
8,41.0308,0.70923,2.66071,0.99341,0.00476,1,0.749,0.68033,0.41737,3.35178,0.74936,0.00043891,0.00043891,0.00043891
9,46.3144,0.65675,3.00239,0.93106,0.00452,1,0.79067,0.73497,0.41914,3.27917,0.73332,0.000457451,0.000457451,0.000457451
10,51.1349,0.77182,2.69366,1.00056,0.00452,1,0.79067,0.73497,0.41914,3.27917,0.73332,0.000467504,0.000467504,0.000467504
11,55.9849,0.74044,3.9491,0.99067,0.00432,1,0.71267,0.65639,0.41391,3.15808,0.72775,0.000469069,0.000469069,0.000469069
12,60.9688,0.57259,3.1732,0.96476,0.7886,0.99474,0.863,0.80172,0.36901,3.03167,0.72705,0.000462146,0.000462146,0.000462146
13,66.0133,0.4318,8.98252,0.726,0.7886,0.99474,0.863,0.80172,0.36901,3.03167,0.72705,0.000446734,0.000446734,0.000446734
14,71.0745,0.5345,3.1068,0.88371,0.78053,0.60897,0.863,0.81412,0.36712,3.00524,0.72625,0.000422834,0.000422834,0.000422834
15,76.0304,0.57042,2.87564,0.95206,0.78053,0.60897,0.863,0.81412,0.36712,3.00524,0.72625,0.000390446,0.000390446,0.000390446
16,81.1001,0.52415,2.97287,0.98231,1,0.80868,0.95375,0.90405,0.34653,3.00992,0.72511,0.000349569,0.000349569,0.000349569
17,85.7158,0.58801,2.88683,0.84595,1,0.80868,0.95375,0.90405,0.34653,3.00992,0.72511,0.000297232,0.000297232,0.000297232
18,90.8533,0.56947,2.95403,0.90711,0.90956,0.82038,0.95375,0.90404,0.35457,2.88795,0.73233,0.000226497,0.000226497,0.000226497
19,95.6353,0.64668,2.88607,1.05173,0.90956,0.82038,0.95375,0.90404,0.35457,2.88795,0.73233,0.000155761,0.000155761,0.000155761
20,100.709,0.58347,3.10803,0.97036,1,0.93285,0.995,0.92467,0.38106,2.77072,0.73344,8.50255e-05,8.50255e-05,8.50255e-05
